,2021-03-01,2022-03-01,2023-03-01
Debtor Days,147.74,183.6,208.85
Inventory Days,56.07,97.51,74.28
Days Payable,220.51,309.25,257.79
Cash Conversion Cycle,-16.7,-28.13,25.35
Working Capital Days,93.6,102.53,150.22
ROCE %,,36.13,41.22
