,2021-03-01,2022-03-01,2023-03-01
Sales,25.62,51.51,74.52
Expenses,22.35,44.71,61.64
Operating Profit,3.27,6.80,12.88
OPM %,12.76,13.20,17.28
Other Income,0.17,0.48,0.82
Interest,0.10,0.67,1.50
Depreciation,0.35,0.38,0.40
Profit before tax,2.99,6.23,11.80
Tax %,29.77,26.81,27.71
Net Profit,2.10,4.56,8.53
EPS in Rs,,,
