,2023-03-01
Depreciation,2.0
EPS in Rs,8.91
Expenses,299.0
Interest,0.0
Net Profit,29.0
OPM %,11.0
Operating Profit,35.0
Other Income,5.0
Profit before tax,38.0
Sales,334.0
Tax %,24.0
