,2022-09-01,2023-06-01,2023-09-01
Sales,87.96,51.41,59.55
Expenses,77.28,47.59,60.94
Operating Profit,10.68,3.82,-1.39
OPM %,12.14,7.43,-2.33
Other Income,1.47,2.44,2.96
Interest,0.17,0.02,0.02
Depreciation,0.37,0.46,0.49
Profit before tax,11.61,5.78,1.06
Tax %,25.5,26.12,25.47
Net Profit,8.66,4.27,0.79
EPS in Rs,5.32,1.31,0.24
