,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,847,-1605,-124,425,-1334,-967,777,-4052,-5855
Cash from Investing Activity,,,-1345,741,1340,-494,2337,2825,-334,4900,5701
Cash from Financing Activity,,,-208,-366,-307,1125,-476,-300,77,-6,-65
Net Cash Flow,,,-706,-1229,910,1056,527,1558,520,842,-219
