,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,200,200,200,200,200,412,824,824,824,824,824,824
Reserves,15285,17387,20035,19426,20484,24228,23303,20721,24732,24981,25040,26356
Borrowings,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities,31159,36791,42726,44780,49473,51094,56426,55707,66914,70691,72359,75007
Total Liabilities,46644,54379,62961,64407,70157,75734,80553,77252,92470,96496,98223,102187
Fixed Assets,212,223,302,350,399,560,561,558,547,563,564,553
CWIP,0,20,0,15,57,33,45,25,16,18,14,0
Investments,31566,35711,45365,44972,51907,56024,59801,52029,67025,71319,74360,79085
Other Assets,14866,18424,17293,19069,17795,19117,20147,24640,24883,24597,23285,22549
Total Assets,46644,54379,62961,64407,70157,75734,80553,77252,92470,96496,98223,102187
