,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,85.44,85.44,85.44,85.44,85.44,85.44,85.44
FIIs,0.13,0.09,0.11,0.03,0.58,0.65,0.69
DIIs,13.43,13.5,13.42,13.19,12.42,11.93,11.93
Public,1.0,0.98,1.04,1.34,1.56,1.98,1.94
No. of Shareholders,100102.0,97581.0,101204.0,118684.0,128201.0,132202.0,127031.0
