,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8118.0,8788.0,5249.0,8136.0,12418.0,12891
Expenses,7525.0,7528.0,4666.0,6998.0,10860.0,11647
Operating Profit,593.0,1259.0,583.0,1138.0,1557.0,1244
OPM %,7.0,14.0,11.0,14.0,13.0,10
Other Income,63.0,63.0,73.0,103.0,123.0,177
Interest,225.0,469.0,530.0,389.0,536.0,670
Depreciation,282.0,885.0,963.0,997.0,1227.0,1422
Profit before tax,149.0,-33.0,-838.0,-145.0,-82.0,-672
Tax %,-115.0,-402.0,12.0,18.0,28.0,
Net Profit,321.0,-165.0,-736.0,-118.0,-59.0,-545
EPS in Rs,3.72,-1.89,-7.93,-1.16,-0.38,-5.18
