,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,35.0,35,42,34,26
Inventory Days,179.0,205,263,287,277
Days Payable,223.0,198,307,335,253
Cash Conversion Cycle,-9.0,42,-1,-13,50
Working Capital Days,-13.0,16,7,3,27
ROCE %,,9,-5,3,5
