,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,773,774,915,938,949,949.0
Reserves,655,294,1729,1835,1920,1990.0
Preference Capital,1,1,1,1,0,
Borrowings,1702,5284,3599,4100,6573,10175.0
Other Liabilities,3490,3406,3806,5321,7348,8847.0
Total Liabilities,6621,9758,10049,12195,16790,21961.0
Fixed Assets,2555,4940,5627,6059,8359,11486.0
CWIP,22,48,38,103,204,137.0
Investments,4,14,418,684,267,318.0
Other Assets,4039,4756,3966,5348,7960,10021.0
Total Assets,6621,9758,10049,12195,16790,21961.0
