,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,881.0,1308.0,1581.0,1849.0,2505.0,2809
Interest,382.0,579.0,742.0,788.0,976.0,1142
Expenses,392.0,551.0,783.0,1125.0,1234.0,1408
Financing Profit,107.0,177.0,56.0,-64.0,295.0,258
Financing Margin %,12.0,14.0,4.0,-3.0,12.0,9
Other Income,58.0,99.0,125.0,185.0,299.0,337
Depreciation,16.0,25.0,30.0,41.0,59.0,0
Profit before tax,149.0,250.0,151.0,80.0,536.0,596
Tax %,37.0,25.0,26.0,23.0,25.0,
Net Profit,94.0,187.0,112.0,61.0,404.0,449
EPS in Rs,1.27,2.46,1.32,0.69,4.51,4.77
