,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,737,759,848,896,896,1097.0
Reserves,36,260,520,677,1104,
Borrowings,5221,7910,10115,12646,16060,
Other Liabilities,245,475,654,845,1058,
Total Liabilities,6239,9404,12138,15064,19118,
Fixed Assets,87,110,125,286,301,
CWIP,3,22,56,1,2,
Investments,862,1192,2314,2348,2859,
Other Assets,5287,8081,9643,12429,15955,
Total Assets,6239,9404,12138,15064,19118,
