,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.43,0.96,1.8,3.46,0.12
Expenses,0.5,1.29,1.51,3.1,2.03
Operating Profit,-0.07,-0.33,0.29,0.36,-1.91
OPM %,-16.28,-34.38,16.11,10.4,-1591.67
Other Income,0.0,0.0,0.12,0.01,1.67
Interest,0.04,0.06,0.1,0.12,0.05
Depreciation,0.09,0.07,0.1,0.1,0.09
Profit before tax,-0.2,-0.46,0.21,0.15,-0.38
Tax %,0.0,-6.52,0.0,26.67,
Net Profit,-0.19,-0.49,0.21,0.11,-0.26
EPS in Rs,-0.37,-0.97,0.41,0.14,0.53
