,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.22,0.00,0.55,0.19,0.01,0.8,0.8,2.18,1.06,0.02,0.1,0.00,0.00
Expenses,0.35,0.47,0.43,0.69,0.13,1.74,0.13,2.8,1.22,0.28,0.24,0.72,0.79
Operating Profit,-0.13,-0.47,0.12,-0.5,-0.12,-0.94,0.67,-0.62,-0.16,-0.26,-0.14,-0.72,-0.79
OPM %,-59.09,,21.82,-263.16,-1200.0,-117.5,83.75,-28.44,-15.09,-1300.0,-140.0,,
Other Income,0.04,0.05,0.06,0.01,0.54,-0.03,0.78,0.0,0.0,1.44,0.11,0.06,0.06
Interest,0.01,0.03,0.01,0.02,0.02,0.02,0.04,0.04,0.03,0.03,0.02,0.00,0.00
Depreciation,0.01,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.03,0.02,0.02
Profit before tax,-0.11,-0.47,0.15,-0.53,0.38,-1.01,1.37,-0.68,-0.21,1.13,-0.08,-0.68,-0.75
Tax %,0.0,0.00,20.0,0.0,0.0,0.0,0.0,-7.35,-42.86,-7.08,25.0,1.47,1.33
Net Profit,-0.12,-0.47,0.12,-0.53,0.38,-1.01,1.36,-0.73,-0.3,1.21,-0.06,-0.67,-0.74
EPS in Rs,-0.24,-0.93,0.24,-1.05,0.75,-1.99,2.68,-1.44,-0.59,2.39,-0.08,-0.85,-0.93
