,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,40.0,47.0,113.0,52.0,73.0,66.0,122.0,145.0,98.0,209.0,347.0,267.0,280.0
Expenses,30.0,36.0,107.0,41.0,57.0,53.0,116.0,132.0,104.0,199.0,326.0,247.0,239.0
Operating Profit,10.0,10.0,5.0,12.0,15.0,13.0,5.0,13.0,-6.0,10.0,21.0,20.0,41.0
OPM %,26.0,22.0,5.0,22.0,21.0,20.0,4.0,9.0,-6.0,5.0,6.0,8.0,15.0
Other Income,1.0,2.0,9.0,1.0,12.0,1.0,7.0,2.0,6.0,3.0,19.0,1.0,10.0
Interest,9.0,2.0,6.0,5.0,9.0,9.0,14.0,7.0,6.0,7.0,9.0,6.0,6.0
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0
Profit before tax,0.0,8.0,6.0,7.0,17.0,4.0,-5.0,6.0,-7.0,5.0,29.0,14.0,43.0
Tax %,88.0,1.0,171.0,0.0,13.0,-52.0,-40.0,0.0,-31.0,-89.0,73.0,0.0,46.0
Net Profit,0.0,8.0,-4.0,7.0,15.0,6.0,-1.0,6.0,-9.0,9.0,8.0,14.0,24.0
EPS in Rs,0.0,0.8,-0.45,0.72,1.58,0.6,-0.15,0.59,-0.96,0.91,0.79,1.48,2.46
