,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,7.0,4,2,4,23
Inventory Days,21.0,49,57,77,57
Days Payable,97.0,25,31,47,62
Cash Conversion Cycle,-69.0,27,28,35,18
Working Capital Days,-60.0,36,32,11,3
ROCE %,,-67,-4,-5,1
