,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12,20,37.0,46.0,41.0,57.0,42.0,83.0,127
Expenses,11,15,29.0,36.0,34.0,45.0,31.0,65.0,106
Operating Profit,1,5,8.0,11.0,7.0,12.0,11.0,18.0,21
OPM %,5,25,22.0,23.0,17.0,22.0,27.0,21.0,17
Other Income,0,0,1.0,1.0,2.0,2.0,1.0,1.0,2
Interest,0,1,1.0,0.0,1.0,1.0,1.0,2.0,2
Depreciation,0,1,1.0,2.0,2.0,4.0,3.0,3.0,3
Profit before tax,0,4,7.0,9.0,5.0,9.0,8.0,14.0,18
Tax %,12,21,15.0,16.0,22.0,12.0,21.0,21.0,
Net Profit,0,3,6.0,7.0,4.0,8.0,6.0,11.0,16
EPS in Rs,,,4.78,6.12,3.38,6.83,5.1,9.22,11.89
