,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,72.24,73.98,73.98,73.98,73.98
Public,27.76,26.02,26.02,26.02,26.02
No. of Shareholders,96.0,42.0,52.0,80.0,85.0
