,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,4.56,5.62,5.26,5.44,6.34,6.11,5.97,6.18,6.25
Expenses,1.33,1.76,1.61,2.03,2.24,2.88,2.45,2.7,2.73
Operating Profit,3.23,3.86,3.65,3.41,4.1,3.23,3.52,3.48,3.52
OPM %,70.83,68.68,69.39,62.68,64.67,52.86,58.96,56.31,56.32
Other Income,-0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01
Interest,0.31,0.36,0.26,0.19,0.52,0.16,0.19,0.01,0.06
Depreciation,0.16,0.09,0.12,0.09,0.08,0.1,0.09,0.09,0.07
Profit before tax,2.76,3.4,3.26,3.13,3.5,2.97,3.24,3.38,3.38
Tax %,25.0,45.88,24.23,25.88,24.29,24.92,24.38,25.44,24.56
Net Profit,2.07,1.84,2.47,2.32,2.65,2.22,2.45,2.51,2.55
EPS in Rs,2.41,1.57,2.11,1.98,2.26,1.9,2.09,2.14,2.18
