,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,32,33,34,34,34,34,45,45,45.0
Reserves,38,61,86,97,87,102,222,229,230.0
Preference Capital,2,3,3,3,3,3,0,0,
Borrowings,58,148,154,141,171,158,57,94,117.0
Other Liabilities,44,98,108,100,95,76,81,100,108.0
Total Liabilities,172,340,382,372,387,369,405,468,500.0
Fixed Assets,76,200,197,186,172,159,150,198,194.0
CWIP,23,0,0,0,0,0,0,0,0.0
Investments,0,0,0,0,1,1,0,10,16.0
Other Assets,72,140,184,186,214,209,255,259,290.0
Total Assets,172,340,382,372,387,369,405,468,500.0
