,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.31,18.31,22.36,16.17,13.97,9.59,46.34,46.36,42.92,24.36,58.32,52.68,60.21
Expenses,16.19,14.28,17.24,11.95,10.56,7.3,45.31,44.48,42.16,22.27,55.44,51.96,60.17
Operating Profit,-1.88,4.03,5.12,4.22,3.41,2.29,1.03,1.88,0.76,2.09,2.88,0.72,0.04
OPM %,-13.14,22.01,22.9,26.1,24.41,23.88,2.22,4.06,1.77,8.58,4.94,1.37,0.07
Other Income,7.97,10.56,-0.19,-0.51,-0.45,0.0,0.9,0.91,0.18,0.24,0.76,1.42,2.09
Interest,1.41,0.45,1.73,1.0,0.04,0.01,0.13,0.08,0.11,0.02,0.28,0.46,0.50
Depreciation,2.91,2.64,2.55,2.56,2.55,1.7,0.64,0.64,0.73,0.73,0.77,0.77,0.67
Profit before tax,1.77,11.5,0.65,0.15,0.37,0.58,1.16,2.07,0.1,1.58,2.59,0.91,0.96
Tax %,0.0,-1.57,-306.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,96.7,
Net Profit,1.77,11.68,2.64,0.15,0.36,0.58,1.16,2.07,0.11,1.59,2.5,0.02,0.07
EPS in Rs,4.86,32.06,7.25,0.41,0.99,1.59,2.53,4.51,0.24,3.46,5.44,0.04,0.15
