,2011-03-01,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,17,17,17,17,18,25,25,25,25,25,26
Reserves,17,8,13,33,42,57,100,101,109,120,155,170
Borrowings,11,19,19,28,31,33,43,39,48,29,55,60
Other Liabilities,32,36,39,45,67,168,114,129,116,106,138,180
Total Liabilities,63,80,89,124,157,277,280,294,298,280,372,435
Fixed Assets,32,32,31,37,42,26,31,46,39,38,39,42
CWIP,0,0,0,0,0,14,14,0,0,2,0,0
Investments,0,6,6,7,7,7,12,11,11,9,26,28
Other Assets,31,43,51,79,108,230,223,238,247,230,307,365
Total Assets,63,80,89,124,157,277,280,294,298,280,372,435
