,2011-03-01,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0,0,0,1,9,31,-46,21,-3,38,-6
Cash from Investing Activity,0,0,0,-8,-8,-21,-7,0,-2,-11,-28
Cash from Financing Activity,0,0,0,6,-3,2,44,-19,1,-27,33
Net Cash Flow,0,0,0,-1,-3,12,-10,2,-4,-1,0
