,2022-09-01,2023-03-01,2023-09-01
Sales,4.92,3.84,5.02
Expenses,4.22,3.41,4.43
Operating Profit,0.7,0.43,0.59
OPM %,14.23,11.2,11.75
Other Income,0.07,0.12,0.05
Interest,0.1,0.14,0.21
Depreciation,0.18,0.22,0.21
Profit before tax,0.49,0.19,0.22
Tax %,10.2,-78.95,36.36
Net Profit,0.44,0.34,0.14
EPS in Rs,1.4,0.46,0.19
