,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.77,7.04,10.3,8.76,8.86
Expenses,3.67,5.87,9.09,7.61,7.84
Operating Profit,1.1,1.17,1.21,1.15,1.02
OPM %,23.06,16.62,11.75,13.13,11.51
Other Income,0.06,0.03,0.07,0.19,0.17
Interest,0.31,0.32,0.24,0.26,0.35
Depreciation,0.42,0.36,0.36,0.39,0.43
Profit before tax,0.43,0.52,0.68,0.69,0.41
Tax %,13.95,55.77,26.47,-20.29,
Net Profit,0.36,0.23,0.5,0.83,0.48
EPS in Rs,17.87,11.41,2.26,1.13,0.65
