,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,96.0,121.0,153.0,125.0,102.0,132.0,140.0,146
Expenses,80.0,97.0,124.0,97.0,94.0,103.0,107.0,108
Operating Profit,16.0,24.0,29.0,28.0,8.0,28.0,33.0,38
OPM %,17.0,20.0,19.0,22.0,8.0,21.0,24.0,26
Other Income,0.0,0.0,0.0,-16.0,7.0,7.0,4.0,8
Interest,2.0,3.0,1.0,9.0,9.0,8.0,5.0,6
Depreciation,4.0,10.0,16.0,29.0,27.0,22.0,19.0,20
Profit before tax,10.0,12.0,12.0,-26.0,-21.0,5.0,13.0,21
Tax %,35.0,19.0,17.0,25.0,33.0,37.0,31.0,
Net Profit,7.0,9.0,10.0,-20.0,-14.0,3.0,9.0,14
EPS in Rs,5.8,0.5,0.53,-1.05,-0.74,0.18,0.47,0.71
