,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,18.0,25.0,77.0,79.0,110.0,157
Expenses,17.0,21.0,70.0,71.0,98.0,139
Operating Profit,2.0,4.0,7.0,9.0,13.0,18
OPM %,9.0,18.0,9.0,11.0,12.0,12
Other Income,0.0,1.0,1.0,0.0,0.0,0
Interest,0.0,2.0,2.0,2.0,2.0,3
Depreciation,0.0,2.0,2.0,2.0,3.0,3
Profit before tax,1.0,1.0,3.0,4.0,8.0,12
Tax %,46.0,55.0,36.0,23.0,23.0,
Net Profit,1.0,1.0,2.0,3.0,6.0,10
EPS in Rs,1.34,0.58,0.84,1.64,2.44,3.94
