,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4137,4137,4137,4137,4137,3930,3930,3930,3930,3930,3930,3930
Reserves,4273,4914,6066,7166,7353,6770,7316,8121,8861,9241,9930,10396
Borrowings,2164,2457,2648,2646,2416,2231,2155,2238,2174,6906,14059,17058
Other Liabilities,1916,2053,1781,1440,1486,1460,1572,1666,2508,3172,4392,4875
Total Liabilities,12489,13561,14632,15389,15392,14391,14974,15955,17473,23248,32311,36259
Fixed Assets,5820,5670,9054,8775,8425,8087,8142,8051,8007,7866,8489,8488
CWIP,2982,4056,429,505,661,944,1303,2265,4298,8369,15674,19226
Investments,5,0,3,36,90,120,160,195,222,275,36,35
Other Assets,3683,3835,5147,6073,6216,5239,5368,5444,4946,6738,8112,8511
Total Assets,12489,13561,14632,15389,15392,14391,14974,15955,17473,23248,32311,36259
