,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1406,1279,1492,2209,2376,1641,1018,1714,1983,2138,1632
Cash from Investing Activity,-665,-879,-304,-768,-1199,15,-34,-95,-1145,-6132,-6877
Cash from Financing Activity,-207,-408,-746,-705,-1621,-2272,-1107,-1345,-1105,3669,5559
Net Cash Flow,534,-8,442,736,-444,-616,-123,273,-267,-325,314
