,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,8.89,11.55,5.35,9.8,4.78,10.35,7.03,8.01,6.89
Expenses,6.97,11.26,5.05,7.8,4.16,8.34,5.64,6.83,5.65
Operating Profit,1.92,0.29,0.3,2.0,0.62,2.01,1.39,1.18,1.24
OPM %,21.6,2.51,5.61,20.41,12.97,19.42,19.77,14.73,18.0
Other Income,0.01,0.56,0.3,0.36,0.17,0.3,0.04,0.55,0.03
Interest,0.05,0.04,0.09,0.07,0.07,0.06,0.07,0.07,0.1
Depreciation,0.45,0.07,0.18,0.28,0.3,0.39,0.32,0.32,0.31
Profit before tax,1.43,0.74,0.33,2.01,0.42,1.86,1.04,1.34,0.86
Tax %,27.97,14.86,18.18,32.34,33.33,26.34,26.92,26.87,27.91
Net Profit,1.03,0.63,0.26,1.35,0.28,1.37,0.76,0.98,0.62
EPS in Rs,0.94,0.57,0.24,1.23,0.26,1.25,0.69,0.89,0.57
