,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,7,7,7,7,7,7,7,7.0
Reserves,50,51,52,50,48,47,80,108,98.0
Preference Capital,0,0,0,0,0,0,0,7,
Borrowings,17,1,8,10,13,23,71,59,37.0
Other Liabilities,44,37,3,3,4,3,4,25,11.0
Total Liabilities,119,96,69,70,73,81,163,200,153.0
Fixed Assets,0,0,0,0,0,0,65,67,0.0
CWIP,0,0,0,0,0,0,1,0,0.0
Investments,20,23,23,23,23,22,17,16,35.0
Other Assets,98,74,46,47,49,58,80,117,118.0
Total Assets,119,96,69,70,73,81,163,200,153.0
