,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.21,4.99,9.03,9.46,15.12,30.44,43.39,56.11,48.74,63.4,75.06,81.18,77.38
Expenses,2.67,4.45,7.29,7.81,11.67,22.26,31.47,41.52,45.19,54.64,65.75,72.02,67.29
Operating Profit,0.54,0.54,1.74,1.65,3.45,8.18,11.92,14.59,3.55,8.76,9.31,9.16,10.09
OPM %,16.82,10.82,19.27,17.44,22.82,26.87,27.47,26.0,7.28,13.82,12.4,11.28,13.04
Other Income,0.0,0.14,0.14,0.29,0.04,0.02,0.93,0.55,0.64,0.58,0.51,1.13,1.34
Interest,0.0,0.05,0.11,0.3,0.86,1.87,2.0,2.63,1.68,1.26,1.06,1.75,2.47
Depreciation,0.06,0.07,0.07,0.3,0.35,0.84,0.79,1.38,1.1,1.0,0.85,2.86,4.27
Profit before tax,0.48,0.56,1.7,1.34,2.28,5.49,10.06,11.13,1.41,7.08,7.91,5.68,4.69
Tax %,31.25,37.5,34.12,41.04,42.11,34.61,31.51,30.91,24.82,31.78,27.31,14.96,
Net Profit,0.33,0.35,1.13,0.79,1.32,3.59,6.89,7.68,1.06,4.83,5.76,4.82,4.70
EPS in Rs,33.0,17.5,37.67,26.33,44.0,94.47,6.89,5.37,0.74,3.38,4.03,3.19,3.11
