,Mar 2009,Mar 2010,Mar 2011,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.86,36.83,56.67,50.89,32.14,41.68,28.09,18.41,20.89,27.6,55.48,57.76,53.60
Expenses,11.67,26.84,37.3,23.54,21.01,17.78,25.4,14.69,16.29,17.23,21.36,37.4,42.81
Operating Profit,2.19,9.99,19.37,27.35,11.13,23.9,2.69,3.72,4.6,10.37,34.12,20.36,10.79
OPM %,15.8,27.12,34.18,53.74,34.63,57.34,9.58,20.21,22.02,37.57,61.5,35.25,20.13
Other Income,0.36,0.49,2.29,0.19,0.25,0.13,4.13,0.95,6.63,4.28,2.46,1.35,1.53
Interest,2.29,2.55,2.55,11.19,6.63,4.76,2.89,2.37,1.7,0.54,0.16,0.36,0.80
Depreciation,0.06,0.09,0.25,1.53,1.21,1.16,1.76,1.55,1.16,0.73,0.97,1.66,2.09
Profit before tax,0.2,7.84,18.86,14.82,3.54,18.11,2.17,0.75,8.37,13.38,35.45,19.69,9.43
Tax %,95.0,34.44,36.11,36.84,36.44,24.57,83.87,-49.33,11.47,14.57,4.2,18.03,
Net Profit,0.01,5.14,12.05,9.35,2.25,13.66,0.35,1.12,7.41,11.43,33.95,16.15,5.96
EPS in Rs,0.09,4.07,13.39,10.39,2.5,15.18,0.39,1.24,8.23,12.7,37.72,17.94,6.62
