,2009-03-01,2010-03-01,2011-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,23.75,2.33,-0.17,38.98,21.24,26.52,-3.2,5.63,1.11,20.31,-2.65,-9.52
Cash from Investing Activity,-0.07,-0.26,-1.77,-0.7000000000000001,0.12,-5.36,1.46,-1.45,0.02,5.15,-11.53,4.71
Cash from Financing Activity,-23.09,-2.42,3.59,-37.16,-16.66,-20.52,0.51,0.39,-6.19,-23.1,12.4,5.86
Net Cash Flow,0.59,-0.35,1.65,1.11,4.69,0.63,-1.24,4.5600000000000005,-5.05,2.37,-1.78,1.04
