,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.05,0.05,0.05,0.05,285.0,285.0,285.0,285.0,285.0
Reserves,-0.04,-0.05,-0.08,-0.21,-0.92,91.63,87.34,80.87,77.22
Borrowings,1.0,1.0,1.0,1.0,3.91,41.0,68.03,64.99,66.13
Other Liabilities,0.33,0.16,0.39,0.31,1.17,660.95,661.42,645.57,647.89
Total Liabilities,1.34,1.16,1.36,1.15,289.16,1078.58,1101.79,1076.43,1076.24
Fixed Assets,0.0,0.0,0.0,0.0,282.1,933.12,943.59,944.26,944.25
CWIP,0.21,0.39,0.71,0.73,0.73,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,1.13,0.77,0.65,0.42,6.33,145.46,158.2,132.17,131.99
Total Assets,1.34,1.16,1.36,1.15,289.16,1078.58,1101.79,1076.43,1076.24
