,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.00,0.00,0.00,0.00,0.00,0.00,2.0,0.58
Expenses,0.01,0.02,0.02,0.12,0.20,9.13,15.95,9.83,9.67
Operating Profit,-0.01,-0.02,-0.02,-0.12,-0.20,-9.13,-15.95,-7.83,-9.09
OPM %,,,,,,,,-391.5,-1567.24
Other Income,0.06,0.06,0.04,0.02,0.10,0.37,3.16,6.53,7.62
Interest,0.05,0.05,0.05,0.05,0.24,1.32,5.84,6.69,6.55
Depreciation,0.0,0.00,0.00,0.00,0.68,0.00,0.01,0.02,0.00
Profit before tax,0.0,-0.01,-0.03,-0.15,-1.02,-10.08,-18.64,-8.01,-8.02
Tax %,,0.00,0.00,13.33,25.49,26.09,20.28,19.23,
Net Profit,0.0,-0.01,-0.03,-0.13,-0.76,-7.45,-14.86,-6.47,-6.50
EPS in Rs,,,,,-0.03,-0.26,-0.52,-0.23,-0.23
