,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,135.0,198.0,124.0,173.0,226.0,278.0,233.0,256.0,246.0,306.0,243.0,372.0
Expenses,123.0,187.0,113.0,164.0,212.0,294.0,223.0,249.0,236.0,294.0,230.0,344.0
Operating Profit,12.0,10.0,11.0,10.0,14.0,-16.0,10.0,7.0,11.0,11.0,13.0,28.0
OPM %,9.0,5.0,9.0,6.0,6.0,-6.0,4.0,3.0,4.0,4.0,6.0,8.0
Other Income,1.0,6.0,2.0,7.0,1.0,4.0,2.0,3.0,6.0,15.0,6.0,6.0
Interest,5.0,5.0,5.0,6.0,6.0,-3.0,3.0,4.0,5.0,2.0,3.0,3.0
Depreciation,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
Profit before tax,6.0,10.0,6.0,9.0,7.0,-11.0,6.0,4.0,10.0,21.0,15.0,29.0
Tax %,28.0,25.0,47.0,23.0,36.0,16.0,44.0,52.0,27.0,24.0,29.0,41.0
Net Profit,5.0,8.0,3.0,7.0,5.0,-9.0,4.0,2.0,8.0,16.0,10.0,17.0
EPS in Rs,1.28,2.02,0.89,1.76,1.25,-2.57,0.98,0.47,2.05,4.31,2.81,4.49
