,2022-03-01,2023-03-01
Debtor Days,211.97,130.01
Inventory Days,408.64,434.66
Days Payable,269.32,183.52
Cash Conversion Cycle,351.29,381.16
Working Capital Days,346.57,352.89
ROCE %,,14.42
