,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.03,6.33,28.61
Reserves,6.57,7.21,32.49
Preference Capital,17.25,20.0,
Borrowings,36.45,60.77,54.2
Other Liabilities,56.43,60.3,27.56
Total Liabilities,99.48,134.61,142.86
Fixed Assets,2.03,2.53,2.22
CWIP,0.0,0.0,0.0
Investments,0.0,0.0,0.0
Other Assets,97.45,132.08,140.64
Total Assets,99.48,134.61,142.86
