,2022-03-01,2023-03-01
Sales,59.82,94.33
Expenses,52.93,82.4
Operating Profit,6.89,11.93
OPM %,11.52,12.65
Other Income,1.1,0.05
Interest,0.73,1.93
Depreciation,0.32,0.78
Profit before tax,6.94,9.27
Tax %,29.68,25.13
Net Profit,4.88,6.94
EPS in Rs,1626.67,10.96
