,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,22.01,19.32,24.52,29.76,41.94,28.05,33.27,34.75,25.5,25.34,41.61,42.96,37.01
Expenses,20.44,17.95,23.02,28.15,40.35,26.58,32.55,33.6,24.53,24.06,40.2,41.68,35.15
Operating Profit,1.57,1.37,1.5,1.61,1.59,1.47,0.72,1.15,0.97,1.28,1.41,1.28,1.86
OPM %,7.13,7.09,6.12,5.41,3.79,5.24,2.16,3.31,3.8,5.05,3.39,2.98,5.03
Other Income,0.07,0.27,0.22,0.16,0.21,0.05,1.12,0.42,0.32,0.23,0.27,0.6,0.15
Interest,0.86,0.92,0.96,0.93,0.82,0.92,0.97,1.02,1.04,0.86,1.02,1.15,1.31
Depreciation,0.48,0.54,0.54,0.82,0.79,0.74,0.67,0.48,0.36,0.39,0.36,0.37,0.35
Profit before tax,0.3,0.18,0.22,0.02,0.19,-0.14,0.2,0.07,-0.11,0.26,0.3,0.36,0.35
Tax %,30.0,44.44,-13.64,-100.0,21.05,14.29,170.0,-114.29,-172.73,57.69,6.67,30.56,
Net Profit,0.2,0.1,0.25,0.05,0.16,-0.12,-0.14,0.16,-0.3,0.11,0.28,0.26,0.25
EPS in Rs,0.02,0.01,0.02,0.0,0.01,-0.01,-0.01,0.01,-0.02,0.01,0.02,0.02,0.01
