,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,3.0,1.0,3,3.0,373.0,525.0,575.0,472.0,508.0,505.0,592.0
Expenses,4.0,1.0,3,5.0,354.0,482.0,575.0,431.0,461.0,459.0,541.0
Operating Profit,-1.0,-0.0,0,-2.0,20.0,43.0,0.0,41.0,47.0,46.0,51.0
OPM %,-26.0,-12.0,2,-49.0,5.0,8.0,0.0,9.0,9.0,9.0,9.0
Other Income,0.0,0.0,-0,0.0,2.0,1.0,-15.0,-10.0,-5.0,2.0,2.0
Interest,0.0,0.0,0,0.0,4.0,6.0,6.0,4.0,3.0,3.0,3.0
Depreciation,0.0,0.0,0,0.0,9.0,13.0,16.0,13.0,13.0,13.0,13.0
Profit before tax,-1.0,-0.0,0,-2.0,9.0,24.0,-36.0,13.0,26.0,31.0,37.0
Tax %,0.0,0.0,,-6.0,45.0,27.0,26.0,25.0,37.0,29.0,31.0
Net Profit,-1.0,-0.0,-0,-2.0,5.0,18.0,-27.0,10.0,16.0,22.0,25.0
EPS in Rs,-1.74,-0.39,-0.02,-3.77,0.25,0.92,-1.39,0.51,0.84,1.14,1.32
