,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,3,3,3,3,5,5,193,193,193
Reserves,0,0,-1,0,-2,-2,-3,-5,3874,3886,3947
Borrowings,0,0,4,4,4,4,2,2,253,139,79
Other Liabilities,0,0,12,12,9,9,7,5,1815,1810,1873
Total Liabilities,0,0,18,18,14,14,10,7,6135,6029,6092
Fixed Assets,0,0,1,0,0,0,0,0,5498,5475,5464
CWIP,0,0,0,0,0,0,0,0,0,2,2
Investments,0,0,0,0,0,0,0,0,87,101,78
Other Assets,0,0,17,18,14,14,10,7,550,451,548
Total Assets,0,0,18,18,14,14,10,7,6135,6029,6092
