,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.39,28.8,34.52,38.17,38.86,42.82,49.02,49.42,48.37,58.76,65.5,65.35,66.62
Expenses,25.56,26.86,32.43,35.74,35.97,40.97,46.55,47.33,46.92,56.6,62.62,62.86,64.14
Operating Profit,1.83,1.94,2.09,2.43,2.89,1.85,2.47,2.09,1.45,2.16,2.88,2.49,2.48
OPM %,6.68,6.74,6.05,6.37,7.44,4.32,5.04,4.23,3.0,3.68,4.4,3.81,3.72
Other Income,0.24,0.29,0.33,0.14,0.12,0.56,0.12,0.57,0.45,0.19,0.08,0.33,0.16
Interest,0.52,0.63,1.06,1.37,1.64,1.49,1.23,1.01,0.43,0.11,0.11,0.08,0.07
Depreciation,0.43,0.44,0.54,0.57,0.69,0.87,0.6,0.64,0.55,0.56,0.53,0.52,0.51
Profit before tax,1.12,1.16,0.82,0.63,0.68,0.05,0.76,1.01,0.92,1.68,2.32,2.22,2.06
Tax %,57.14,32.76,40.24,34.92,22.06,1000.0,26.32,34.65,21.74,35.12,31.47,31.08,
Net Profit,0.48,0.78,0.5,0.41,0.54,-0.44,0.56,0.67,0.72,1.09,1.59,1.52,1.41
EPS in Rs,0.68,1.1,0.71,0.58,0.76,-0.62,0.79,0.95,1.02,1.38,1.8,1.57,1.46
