,2012-03-01,2013-09-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,90,110,139,139,146,150,150,210,210,210,217,217
Reserves,-38,-132,-61,-53,-42,-56,-90,137,108,131,135,53
Preference Capital,24,24,24,24,10,0,0,0,0,0,0,0
Borrowings,420,455,345,347,299,258,240,196,174,192,182,198
Other Liabilities,262,265,280,271,266,273,301,320,355,313,326,340
Total Liabilities,734,699,703,704,670,625,601,863,847,845,860,808
Fixed Assets,457,414,398,387,368,348,322,584,593,582,569,561
CWIP,2,2,4,2,1,3,3,3,2,1,1,2
Investments,42,38,37,37,5,2,2,2,2,2,2,2
Other Assets,233,244,264,278,296,272,274,274,251,261,288,243
Total Assets,734,699,703,704,670,625,601,863,847,845,860,808
