,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1510,1114,1400,1460,1662.0,1671.0,1835.0,1687.0,1864.0,1859.0,2105.0
Expenses,1282,997,1214,1251,1443.0,1468.0,1654.0,1508.0,1655.0,1665.0,1856.0
Operating Profit,229,117,186,209,219.0,203.0,181.0,179.0,209.0,194.0,248.0
OPM %,15,10,13,14,13.0,12.0,10.0,11.0,11.0,10.0,12.0
Other Income,16,5,8,8,-56.0,8.0,11.0,1.0,13.0,14.0,6.0
Interest,3,3,3,4,19.0,7.0,6.0,7.0,9.0,8.0,7.0
Depreciation,13,13,13,12,67.0,28.0,30.0,32.0,35.0,34.0,36.0
Profit before tax,230,106,178,200,76.0,176.0,156.0,141.0,179.0,166.0,210.0
Tax %,26,26,25,24,39.0,28.0,25.0,25.0,22.0,26.0,26.0
Net Profit,170,79,134,152,46.0,126.0,116.0,106.0,138.0,123.0,156.0
EPS in Rs,,,,,0.1,0.28,0.26,0.24,0.31,0.28,0.35
