,2021-03-01,2022-03-01,2023-03-01
Debtor Days,63.0,43,41
Inventory Days,116.0,97,95
Days Payable,109.0,92,73
Cash Conversion Cycle,69.0,47,64
Working Capital Days,55.0,36,49
ROCE %,,88,44
