,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3938,5635.0,7057.0,7515
Expenses,3385,4905.0,6276.0,6684
Operating Profit,553,730.0,781.0,830
OPM %,14,13.0,11.0,11
Other Income,24,-35.0,22.0,33
Interest,7,28.0,28.0,30
Depreciation,37,106.0,124.0,137
Profit before tax,532,561.0,652.0,696
Tax %,26,27.0,25.0,
Net Profit,396,411.0,487.0,524
EPS in Rs,,0.93,1.1,1.18
