,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,61.73,61.73,61.73,61.73,61.73,61.74,61.75
FIIs,14.89,8.6,10.47,11.03,9.92,10.93,11.08
DIIs,13.42,20.81,19.13,18.26,18.94,17.77,17.56
Government,0.0,0.0,0.09,0.09,0.09,0.21,0.21
Public,9.96,8.86,8.57,8.89,9.32,9.33,9.41
No. of Shareholders,678238.0,643861.0,648348.0,678282.0,685401.0,694219.0,721760.0
