,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93
Public,25.08,25.08,25.08,25.08,25.08,25.08,25.08,25.08,25.08,25.08,25.08,25.08
No. of Shareholders,520.0,517.0,519.0,517.0,519.0,521.0,526.0,541.0,551.0,553.0,557.0,553.0
