,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01
Sales,1084.0,1353.0,925.0,893.0,1432.0,1190.0,1411.0,1378.0
Expenses,980.0,960.0,775.0,725.0,322.0,653.0,283.0,432.0
Operating Profit,104.0,393.0,150.0,168.0,1111.0,537.0,1128.0,946.0
OPM %,10.0,29.0,16.0,19.0,78.0,45.0,80.0,69.0
Other Income,2.0,4.0,2.0,5.0,4.0,7.0,6.0,8.0
Interest,0.0,0.0,0.0,0.0,294.0,0.0,295.0,293.0
Depreciation,365.0,370.0,371.0,380.0,436.0,377.0,426.0,527.0
Profit before tax,-258.0,27.0,-218.0,-207.0,384.0,166.0,414.0,134.0
Tax %,-0.0,-82.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Net Profit,-259.0,49.0,-219.0,-208.0,383.0,166.0,413.0,133.0
EPS in Rs,-3.91,0.74,-3.3,-3.13,5.77,2.5,6.22,2.0
