,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,28.0,2407.0,1792.0,2592.0,2744.0
Expenses,69.0,1165.0,811.0,628.0,711.0
Operating Profit,-42.0,1242.0,980.0,1964.0,2033.0
OPM %,-149.0,52.0,55.0,76.0,74.0
Other Income,5.0,37.0,32.0,41.0,59.0
Interest,15.0,675.0,586.0,590.0,591.0
Depreciation,21.0,835.0,852.0,864.0,953.0
Profit before tax,-72.0,-231.0,-425.0,551.0,547.0
Tax %,-32.0,9.0,-0.0,0.0,0.0
Net Profit,-95.0,-209.0,-427.0,549.0,546.0
EPS in Rs,-1.43,-3.15,-6.43,8.27,8.22
