,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-77,1870,2046,1875,1600
Cash from Investing Activity,-16845,-293,-221,-326,416
Cash from Financing Activity,17010,-1651,-1748,-1639,-1628
Net Cash Flow,88,-74,77,-90,388
