,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,123,109,121,138,124,97,107,150,187,240,136,215
Inventory Days,18,14,13,11,12,11,13,10,13,0,1,2
Days Payable,174,153,170,173,175,156,117,66,44,50,34,11
Cash Conversion Cycle,-34,-31,-36,-24,-39,-49,2,94,155,190,103,206
Working Capital Days,-99,-67,-60,-63,-43,27,33,106,164,202,112,257
ROCE %,14,16,13,14,15,15,8,12,5,-2,3,2
