,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.27,0.00,0.00,0.00,0.0
Expenses,0.08,0.47,0.00,0.00,0.06,0.06,0.08,0.68,0.44,0.11,0.21,0.10,0.11
Operating Profit,-0.08,-0.47,0.00,0.00,-0.06,-0.06,-0.08,-0.06,-0.17,-0.11,-0.21,-0.10,-0.11
OPM %,,,,,,,,-9.68,-62.96,,,,
Other Income,0.09,0.92,-0.02,-0.06,0.02,0.02,0.02,0.18,0.39,0.74,0.76,0.00,0.0
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.03,0.01,0.00,0.00,0.0
Depreciation,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.0,0.00,0.00,0.00,0.0
Profit before tax,-0.03,0.45,-0.02,-0.06,-0.04,-0.04,-0.06,0.11,0.19,0.62,0.55,-0.10,-0.11
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-890.91,0.0,22.58,25.45,10.00,
Net Profit,-0.04,0.45,-0.02,-0.06,-0.04,-0.04,-0.06,1.08,0.19,0.48,0.42,-0.09,-0.11
EPS in Rs,-0.11,1.26,-0.06,-0.17,-0.11,-0.11,-0.17,3.03,0.53,1.35,1.18,-0.25,-0.31
