,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43
Reserves,3.95,4.23,4.46,4.49,4.73,4.85,4.9,4.91,4.44,3.33,3.26,3.26
Borrowings,5.74,6.14,5.79,5.63,3.21,2.43,4.7,4.83,4.5,4.12,5.07,4.76
Other Liabilities,6.11,6.69,6.01,4.58,3.54,3.9,2.95,7.61,3.71,2.72,2.81,3.45
Total Liabilities,19.23,20.49,19.69,18.13,14.91,14.61,15.98,20.78,16.08,13.6,14.57,14.9
Fixed Assets,2.36,2.04,2.22,1.79,1.57,1.64,1.88,1.73,1.54,1.35,1.4,1.2
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,16.87,18.45,17.47,16.33,13.33,12.96,14.09,19.04,14.53,12.24,13.16,13.69
Total Assets,19.23,20.49,19.69,18.13,14.91,14.61,15.98,20.78,16.08,13.6,14.57,14.9
