,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.41,31.14,31.95,34.98,29.67,26.23,23.32,23.42,20.06,7.4,13.16,16.36,14.30
Expenses,25.12,30.64,31.94,35.42,29.36,26.28,23.34,22.86,19.99,8.35,12.74,15.75,14.05
Operating Profit,1.29,0.5,0.01,-0.44,0.31,-0.05,-0.02,0.56,0.07,-0.95,0.42,0.61,0.25
OPM %,4.88,1.61,0.03,-1.26,1.04,-0.19,-0.09,2.39,0.35,-12.84,3.19,3.73,1.75
Other Income,0.24,1.25,1.5,1.7,0.88,0.78,0.67,0.15,0.16,0.02,0.13,0.12,0.11
Interest,1.08,0.98,0.82,0.83,0.6,0.36,0.37,0.48,0.5,0.48,0.48,0.51,0.53
Depreciation,0.34,0.35,0.36,0.29,0.24,0.19,0.2,0.22,0.22,0.21,0.2,0.21,0.20
Profit before tax,0.11,0.42,0.33,0.14,0.35,0.18,0.08,0.01,-0.49,-1.62,-0.13,0.01,-0.37
Tax %,45.45,35.71,33.33,14.29,28.57,33.33,25.0,0.0,12.24,30.25,30.77,200.0,
Net Profit,0.06,0.28,0.23,0.12,0.24,0.12,0.05,0.0,-0.43,-1.12,-0.09,-0.01,-0.27
EPS in Rs,0.17,0.79,0.65,0.34,0.68,0.34,0.14,0.0,-1.22,-3.18,-0.26,-0.03,-0.77
