,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.12,9.13,9.39,14.86,11.13,19.3,21.33,41.44,33.45,25.59,32.22,49.28,62.64
Expenses,7.11,6.74,7.52,11.0,9.06,14.94,17.35,33.97,27.6,23.34,34.08,40.0,51.37
Operating Profit,1.01,2.39,1.87,3.86,2.07,4.36,3.98,7.47,5.85,2.25,-1.86,9.28,11.27
OPM %,12.44,26.18,19.91,25.98,18.6,22.59,18.66,18.03,17.49,8.79,-5.77,18.83,17.99
Other Income,0.04,0.05,0.04,0.02,0.12,0.18,0.21,0.44,0.2,1.85,0.11,0.34,0.28
Interest,0.03,0.02,0.04,0.34,0.33,0.31,0.34,0.65,1.08,1.31,1.59,1.36,1.37
Depreciation,0.19,0.22,0.31,1.03,1.01,0.98,1.12,1.03,1.15,1.41,1.97,2.02,2.02
Profit before tax,0.83,2.2,1.56,2.51,0.85,3.25,2.73,6.23,3.82,1.38,-5.31,6.24,8.16
Tax %,28.92,33.18,33.33,34.66,37.65,32.92,27.11,27.77,24.61,35.51,3.77,4.33,
Net Profit,0.59,1.47,1.04,1.64,0.53,2.18,1.99,4.5,2.88,0.89,-5.12,5.97,7.39
EPS in Rs,7.38,18.38,2.74,3.64,0.52,2.14,1.95,4.41,2.82,0.87,-5.02,5.85,7.25
