,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,38.87,48.76,53.91,45.81,47.95,51.98,48.81,50.19
Expenses,35.88,44.44,49.41,42.99,43.82,46.67,43.22,45.44
Operating Profit,2.99,4.32,4.5,2.82,4.13,5.31,5.59,4.75
OPM %,7.69,8.86,8.35,6.16,8.61,10.22,11.45,9.46
Other Income,1.18,0.0,0.0,0.51,0.0,0.0,0.0,0.0
Interest,0.81,1.15,0.65,1.09,1.04,1.41,1.12,1.22
Depreciation,0.77,0.79,0.82,0.83,0.84,0.84,0.84,0.85
Profit before tax,2.59,2.38,3.03,1.41,2.25,3.06,3.63,2.68
Tax %,27.03,21.43,27.06,26.95,25.33,20.26,27.55,33.96
Net Profit,1.89,1.88,2.21,1.04,1.69,2.45,2.64,1.77
EPS in Rs,1.26,1.25,1.47,0.69,1.13,1.63,1.76,1.18
