,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-10-01
Promoters,24.22,24.22,24.22,17.15,73.02,73.02,73.02,73.06,44.52
Public,75.78,75.78,75.78,82.85,26.98,26.98,26.98,26.95,55.49
No. of Shareholders,6932.0,6930.0,6918.0,6898.0,6884.0,6885.0,6887.0,6880.0,6904.0
