,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,50.93,3.08,1.04,0.88,0.31,0.0,0.0,0.0
FIIs,12.35,23.61,21.44,18.27,16.46,19.59,18.3,11.75
DIIs,8.22,17.05,14.69,5.47,6.13,2.38,7.42,7.84
Public,28.51,56.26,62.82,75.38,77.11,78.03,74.27,80.41
No. of Shareholders,23670.0,49278.0,45087.0,41105.0,42813.0,57189.0,59292.0,61535.0
