,2016-03-01,2017-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,73.0,158,,76.0,122.0,132,121
Inventory Days,71.0,132,,16.0,,303,
Days Payable,119.0,280,,73.0,,975,
Cash Conversion Cycle,26.0,10,,18.0,122.0,-540,121
Working Capital Days,-2.0,125,,-45.0,50.0,-2,91
ROCE %,,11,,,,3,5
