,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,966.0,1281.0,1536.0,1176.0,892.0,1017.0,1177.0,1513
Expenses,821.0,1098.0,1386.0,1093.0,849.0,945.0,1125.0,1401
Operating Profit,146.0,183.0,150.0,83.0,43.0,71.0,51.0,112
OPM %,15.0,14.0,10.0,7.0,5.0,7.0,4.0,7
Other Income,18.0,15.0,26.0,35.0,82.0,62.0,158.0,227
Interest,60.0,92.0,145.0,140.0,155.0,170.0,161.0,172
Depreciation,29.0,30.0,51.0,46.0,36.0,28.0,31.0,24
Profit before tax,75.0,75.0,-21.0,-67.0,-67.0,-64.0,17.0,142
Tax %,52.0,54.0,-165.0,-48.0,-23.0,-10.0,121.0,
Net Profit,39.0,33.0,-54.0,-99.0,-82.0,-70.0,-3.0,102
EPS in Rs,0.27,0.29,-0.35,-0.64,-0.16,-0.13,0.0,0.66
