,2016-03-01,2017-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,51,51,51.0,51,51,51,154,154
Reserves,235,296,,1161,1114,1119,1178,1197
Borrowings,939,1194,,1156,1306,1545,1638,1608
Other Liabilities,304,627,,2146,2002,1916,2022,2147
Total Liabilities,1530,2167,,4515,4473,4631,4992,5107
Fixed Assets,662,708,,3238,3160,3270,3463,3417
CWIP,5,4,,0,0,0,0,62
Investments,109,42,,274,285,235,177,176
Other Assets,755,1414,,1004,1029,1126,1352,1452
Total Assets,1530,2167,,4515,4473,4631,4992,5107
